Ranking;Name;Year;Minutes;Genres;Rating;Votes;Gross
463;Ex Machina;2014;108;Drama, Sci-Fi, Thriller;7.7;546194;25.44
464;Isle of Dogs;2018;101;Animation, Adventure, Comedy;7.8;170040;32.02
465;Pirates of the Caribbean: The Curse of the Black Pearl;2003;143;Action, Adventure, Fantasy;8.1;1125642;305.41
466;Kill Bill: Vol. 2;2004;137;Action, Crime, Thriller;8;756702;66.21
467;Hunt for the Wilderpeople;2016;101;Adventure, Comedy, Drama;7.8;131580;5.20
468;Zootropolis;2016;108;Animation, Adventure, Comedy;8;499404;341.27
469;Song of the Sea;2014;93;Animation, Adventure, Drama;8;59005;0.86
470;District 9;2009;112;Action, Sci-Fi, Thriller;7.9;683122;115.65
471;Night of the Living Dead;1968;96;Horror, Thriller;7.8;130548;0.09
472;How to Train Your Dragon;2010;98;Animation, Action, Adventure;8.1;739804;217.58
473;Mission: Impossible - Fallout;2018;147;Action, Adventure, Thriller;7.7;333537;220.16
474;Mirror;1975;107;Biography, Drama;8;47459;0.18
475;Shaun of the Dead;2004;99;Comedy, Horror;7.9;559816;13.54
476;The Revenant;2015;156;Action, Adventure, Drama;8;803251;183.64
477;Shrek;2001;90;Animation, Adventure, Comedy;7.9;677295;267.67
478;Interstellar;2014;169;Adventure, Drama, Sci-Fi;8.6;1817609;188.02
479;Minority Report;2002;145;Action, Crime, Mystery;7.6;553078;132.07
480;Laputa: Castle in the Sky;1986;125;Animation, Adventure, Family;8;167517;-1
481;The Big Sick;2017;120;Comedy, Drama, Romance;7.5;136487;42.87
482;Cinderella;1950;74;Animation, Family, Fantasy;7.3;161897;85.00
483;My Fair Lady;1964;170;Drama, Family, Musical;7.8;96280;72.00
484;Waltz with Bashir;2008;90;Documentary, Animation, Biography;8;58289;2.28
485;Brief Encounter;1945;86;Drama, Romance;8;40681;-1
486;Ghost in the Shell;1995;83;Animation, Action, Crime;7.9;144208;0.52
487;Chungking Express;1994;102;Comedy, Crime, Drama;8;83105;0.60
488;Mommy;2014;139;Drama;8;57661;3.49
489;The Prestige;2006;130;Drama, Mystery, Sci-Fi;8.5;1329348;53.09
490;The Innocents;1961;100;Horror;7.8;31009;2.62
491;Black Swan;2010;108;Drama, Thriller;8;767479;106.95
492;The Hidden Fortress;1958;139;Action, Adventure, Drama;8.1;39553;-1
493;Hereditary;2018;127;Drama, Horror, Mystery;7.3;317035;44.07
494;Black Cat, White Cat;1998;127;Comedy, Crime, Romance;8;54330;0.35
495;Sleuth;1972;138;Mystery, Thriller;8;48106;4.08
496;Coco;2017;105;Animation, Adventure, Comedy;8.4;506237;209.73
497;Predator;1987;107;Action, Adventure, Horror;7.8;424854;59.74
498;My Sassy Girl;2001;137;Comedy, Drama, Romance;8;48573;-1
499;Dead Poets Society;1989;128;Comedy, Drama;8.1;491235;95.86
500;Breakfast at Tiffany's;1961;115;Comedy, Drama, Romance;7.6;181599;-1
501;Hidden Figures;2016;127;Biography, Drama, History;7.8;231226;169.61
502;The Imitation Game;2014;114;Biography, Drama, Thriller;8;769480;91.13
503;Shutter Island;2010;138;Mystery, Thriller;8.2;1309105;128.01
504;Lincoln;2012;150;Biography, Drama, History;7.3;261725;182.21
505;The Perks of Being a Wallflower;2012;103;Drama;7.9;513039;17.74
506;A Fistful of Dollars;1964;99;Action, Drama, Western;7.9;218637;14.50
507;Zero Dark Thirty;2012;157;Drama, History, Thriller;7.4;302655;95.72
508;A Place in the Sun;1951;122;Drama, Romance;7.7;23049;-1
509;American Hustle;2013;138;Crime, Drama;7.2;480115;150.12
510;Rain Man;1988;133;Drama;8;515371;178.80
511;Giant;1956;201;Drama, Western;7.6;39658;-1
512;Cinderella Man;2005;144;Biography, Drama, Romance;8;189036;61.65
513;From Here to Eternity;1953;118;Drama, Romance, War;7.6;47598;30.50
514;Walk the Line;2005;136;Biography, Drama, Music;7.8;252498;119.52
515;The Last Emperor;1987;163;Biography, Drama, History;7.7;104338;43.98
516;Mutiny on the Bounty;1935;132;Adventure, Biography, Drama;7.7;23353;-1
517;The Longest Day;1962;178;Action, Drama, History;7.7;56464;39.10
